concept_id,code,source,datatype
2259,73332,MCL/CIEL,N/A
2259,2259,local,N/A
2259,111154004,"SNOMED CT",N/A
2260,2260,local,N/A
2260,77031,MCL/CIEL,N/A
2261,79651,MCL/CIEL,N/A
2261,2261,local,N/A
2262,72806,MCL/CIEL,N/A
2262,2262,local,N/A
2263,2263,local,N/A
2263,83067,MCL/CIEL,N/A
2264,2264,local,N/A
2264,78945,MCL/CIEL,N/A
2265,79074,MCL/CIEL,N/A
2265,52175,RxNorm,N/A
2265,2265,local,N/A
2265,96309000,"SNOMED CT",N/A
2266,2266,local,N/A
2266,79764,MCL/CIEL,N/A
2267,2267,local,N/A
2267,71652,MCL/CIEL,N/A
2268,108551001,"SNOMED CT",N/A
2268,72944,MCL/CIEL,N/A
2268,2268,local,N/A
2268,20352,RxNorm,N/A
2269,2269,local,N/A
2269,84239,MCL/CIEL,N/A
2270,2270,local,N/A
2270,82111,MCL/CIEL,N/A
2271,83522,MCL/CIEL,N/A
2271,2271,local,N/A
2272,17767,RxNorm,N/A
2272,386864001,"SNOMED CT",N/A
2272,71137,MCL/CIEL,N/A
2272,108537001,"SNOMED CT",N/A
2272,2272,local,N/A
2273,2273,local,N/A
2274,76750,MCL/CIEL,N/A
2274,108402001,"SNOMED CT",N/A
2274,2274,local,N/A
2274,25480,"SNOMED CT",N/A
2275,2275,local,N/A
2276,71665,MCL/CIEL,N/A
2276,2276,local,N/A
2277,83936,MCL/CIEL,N/A
2277,2277,local,N/A
2278,2278,local,N/A
2278,83902,MCL/CIEL,N/A
2279,159850,MCL/CIEL,N/A
2279,2279,local,N/A
2280,73597,MCL/CIEL,N/A
2280,2280,local,N/A
2281,76552,MCL/CIEL,N/A
2281,2281,local,N/A
2282,2282,local,N/A
2282,81025,MCL/CIEL,N/A
2283,77335,MCL/CIEL,N/A
2283,2283,local,N/A
2284,84114,MCL/CIEL,N/A
2284,2284,local,N/A
2285,164096,MCL/CIEL,N/A
2285,2285,local,N/A
2286,1553,MCL/CIEL,Numeric
2286,2286,local,Numeric
2287,2287,local,N/A
2288,2288,local,Numeric
2289,2289,local,Numeric
2290,2290,local,Numeric
2291,2291,local,Numeric
2292,2292,local,Coded
2293,2293,local,Coded
2294,159861,MCL/CIEL,N/A
2294,2294,local,N/A
2295,2295,local,N/A
2295,123818,MCL/CIEL,N/A
2296,2296,local,Coded
2296,122496,MCL/CIEL,Coded
2297,2297,local,Coded
2298,2298,local,Coded
2299,2299,local,N/A
2300,164134,MCL/CIEL,Coded
2300,2300,local,Coded
2301,1362,MCL/CIEL,N/A
2301,2301,local,N/A
2302,2302,local,N/A
2303,2303,local,N/A
2304,159866,MCL/CIEL,N/A
2304,2304,local,N/A
2305,159867,MCL/CIEL,N/A
2305,2305,local,N/A
2306,159868,MCL/CIEL,N/A
2306,2306,local,N/A
2307,2307,local,N/A
2307,159869,MCL/CIEL,N/A
2308,159870,MCL/CIEL,N/A
2308,2308,local,N/A
2309,2309,local,Coded
2309,159865,MCL/CIEL,Coded
2310,2310,local,N/A
2311,2311,local,Coded
2311,1465,MCL/CIEL,Coded
2312,161557,MCL/CIEL,Coded
2312,2312,local,Coded
2313,1436,MCL/CIEL,Coded
2313,2313,local,Coded
2322,159859,MCL/CIEL,Coded
2323,159858,MCL/CIEL,Coded
2324,159497,MCL/CIEL,Numeric
2326,2326,local,N/A
2327,2327,local,Coded
2327,1887,MCL/CIEL,Coded
2328,2328,local,Coded
2329,2329,local,N/A
2330,2330,local,N/A
2331,2331,local,N/A
2332,2332,local,Coded
2333,2333,local,N/A
2334,2334,local,N/A
2335,2335,local,Coded
2336,2336,local,N/A
2336,159864,MCL/CIEL,N/A
2337,2337,local,N/A
2337,159863,MCL/CIEL,N/A
2338,159862,MCL/CIEL,Coded
2338,2338,local,Coded
2339,2339,local,Coded
2339,1875,MCL/CIEL,Coded
2340,139355,MCL/CIEL,Coded
2340,2340,local,Coded
2341,2341,local,N/A
2342,2342,local,N/A
2343,164962,"KENYA EMR",Coded
2343,2343,local,Coded
2344,2344,local,N/A
2345,160523,MCL/CIEL,N/A
2345,2345,local,N/A
2346,2346,local,N/A
2347,2347,local,N/A
2348,2348,local,Coded
2349,2349,local,N/A
2350,2350,local,Coded
2351,2351,local,N/A
2352,2352,local,N/A
2352,159857,MCL/CIEL,N/A
2353,159856,MCL/CIEL,N/A
2353,2353,local,N/A
2354,160428,MCL/CIEL,N/A
2354,2354,local,N/A
